,uid,rating_mean,rating_std,ratings_cnt,liked_ratio,liked_rating_mean,disliked_rating_mean,liked_ratings_cnt_mean,disliked_ratings_cnt_mean
1,1,-2.823333333333334,6.671665798606963,54,0.4074074074074074,4.622727272727273,-7.942500000000001,17127.272727272728,14167.90625
2,2,2.9646575342465753,5.030746874689622,73,0.589041095890411,6.576744186046513,-2.212666666666667,12126.06976744186,15408.766666666666
3,3,6.9987499999999985,4.1589743481061685,40,0.875,8.240857142857141,-1.6960000000000002,16157.685714285713,17924.8
4,4,2.5116666666666667,4.988934326515606,36,0.5555555555555556,6.212999999999999,-2.115,17066.65,16284.8125
5,5,3.262058823529412,4.268255457819338,68,0.5735294117647058,6.113333333333333,-0.5724137931034483,13427.97435897436,13173.724137931034
6,6,-4.847361111111111,3.1119904382051753,72,0.4444444444444444,-1.7878124999999998,-7.295,12977.53125,13217.175
7,7,4.746206896551724,4.095678396443451,29,0.6206896551724138,7.068888888888889,0.9454545454545453,16957.722222222223,16961.090909090908
8,8,-2.948428571428572,4.961607861095814,70,0.44285714285714284,1.6925806451612904,-6.637435897435898,13687.58064516129,12402.71794871795
9,9,-0.7218181818181818,3.9256818747598716,66,0.6212121212121212,1.727560975609756,-4.7388,13406.90243902439,13188.6
10,10,4.562931034482758,2.2342258038364733,58,0.5,6.3582758620689654,2.7675862068965515,15936.620689655172,15060.793103448275
11,11,3.7473076923076922,4.111610446228881,26,0.5384615384615384,6.755,0.23833333333333329,16337.142857142857,16105.5
12,12,0.4058666666666667,3.107754944134558,75,0.49333333333333335,2.914594594594595,-2.0368421052631582,12744.594594594595,13897.236842105263
13,13,5.2,3.568596537856304,33,0.6666666666666666,7.230909090909093,1.1381818181818184,16738.909090909092,15573.818181818182
14,14,4.326231884057972,5.8865494990072555,69,0.6666666666666666,7.89717391304348,-2.8156521739130436,12798.717391304348,13148.0
15,15,-0.3114864864864866,5.994641827232147,74,0.4594594594594595,5.4399999999999995,-5.20025,12316.470588235294,13613.9
16,16,-0.09126760563380279,4.055794066897193,71,0.4788732394366197,3.5258823529411765,-3.415135135135135,14165.411764705883,12517.27027027027
17,17,0.04687500000000011,4.827032373234933,32,0.5,4.116875,-4.023124999999999,16785.4375,16639.5625
18,18,3.6236000000000006,2.7134951232283036,75,0.49333333333333335,5.947297297297298,1.3610526315789473,12249.45945945946,13660.105263157895
19,19,1.5730555555555554,2.159876741780081,36,0.6388888888888888,2.761739130434783,-0.53,15636.130434782608,16087.692307692309
20,20,-0.3635135135135135,6.0373960613166,37,0.5405405405405406,4.206,-5.739411764705882,16185.3,16263.235294117647
21,21,-0.5507317073170731,2.697361108791241,41,0.5609756097560976,1.2160869565217391,-2.808333333333333,15849.826086956522,15717.111111111111
22,22,1.0663157894736839,4.547061077016927,38,0.5,4.912631578947369,-2.78,16445.315789473683,15704.526315789473
23,23,2.8284,4.518437223064575,50,0.54,6.050370370370371,-0.9539130434782609,16290.555555555555,14725.95652173913
24,24,1.0221428571428572,5.284220122036613,70,0.5285714285714286,5.062162162162162,-3.507575757575758,11974.216216216217,14178.727272727272
25,25,1.4178181818181819,3.993319277896379,55,0.5272727272727272,4.505517241379311,-2.026153846153846,16555.103448275862,14715.153846153846
26,26,3.5834090909090905,3.254301584902178,44,0.5,6.2731818181818175,0.8936363636363637,16149.5,15412.09090909091
27,27,1.6273684210526316,3.9994389364688874,38,0.6052631578947368,4.663913043478261,-3.0286666666666666,16830.869565217392,15660.4
28,28,-1.8454901960784316,4.091141314462501,51,0.6078431372549019,0.6238709677419356,-5.673,16751.935483870966,14211.65
29,29,2.545428571428571,4.851328709961925,35,0.5142857142857142,5.943888888888889,-1.0529411764705883,17055.166666666668,15491.058823529413
30,30,3.0306060606060603,3.4365261705990426,33,0.6060606060606061,4.9715,0.04461538461538438,16059.35,16996.0
31,31,1.7939726027397258,4.523810997785319,73,0.547945205479452,5.02425,-2.121515151515151,15028.35,11307.666666666666
32,32,1.3985,3.2370266112670874,40,0.55,3.8659090909090916,-1.6172222222222221,16030.09090909091,17097.777777777777
33,33,1.4405555555555556,3.314144628194192,72,0.5694444444444444,3.478292682926829,-1.2545161290322582,13079.926829268292,12579.451612903225
34,34,0.09148148148148143,3.39176797975481,27,0.5555555555555556,2.595333333333333,-3.0383333333333336,16957.866666666665,16639.166666666668
35,35,3.417638888888889,2.9538351737968234,72,0.4583333333333333,6.167272727272727,1.091025641025641,14595.272727272728,11569.051282051281
36,36,0.9274999999999999,6.424471360202683,32,0.53125,6.34,-5.206666666666665,16792.0,16994.066666666666
37,37,4.827090909090909,4.031552257219743,55,0.6,7.321212121212121,1.0859090909090912,15504.515151515152,14963.272727272728
